Generation	ID	Fitness	Status	Order	Int_Order	Survival_Time	Response_Time	Capture_Time	Luminance_Difference	Contrast_Difference	Colour_Difference	GabRat_Edge_Disruption	BgLocal_Luminance	BgLocal_Contrast	BgLocal_A	BgLocal_B	Target_Luminance	Target_Contrast	Target_A	Target_B	Target_Contrast2	BgLocal_Contrast2	Contrast2_Difference	Image_ID	X_Coordinate	Y_Coordinate	Rotation	Flip	Crop_X	Crop_Y	Parent1	Parent2	Sex	ptn_dim_xcp	ptn_dim_ycp	ptn_dim_wdt	ptn_dim_asr	ptn_dim_agl	ptn_grd_cvr	ptn_grd_sig	ptn_grd_hgt	ptn_grd_agl	eem_int_lvl	eem_int_rto	eem_sig_lvl	eem_sig_rto	eem_exp_lvl	eem_exp_rto	ptn_bil_ctr	ptn_bil_sft	ptn_bil_frq	col_mac_lmv	col_mac_rgv	col_mac_byv	col_top_lmv	col_top_rgv	col_top_byv	col_bot_lmv	col_bot_rgv	col_bot_byv	col_grd_sig	col_grd_hgt	spk_one_lvl	spk_one_rto	spk_one_sig	spk_one_ycp	spk_two_lvl	spk_two_rto	spk_two_sig	spk_two_ycp	TmeanL	TmeanA	TmeanB	TcontrastL	TcontrastA	TcontrastB	LmeanL	LmeanA	LmeanB	LcontrastL	LcontrastA	LcontrastB	BmeanL	BmeanA	BmeanB	BcontrastL	BcontrastA	BcontrastB	gabRatL	gabRatA	gabRatB
0	Gen0_Mut0_ID17	1356	Survived	1	1	1356	676	1356	7.8214	9.3191	40.5772	0.3108	49.5583	15.1068	-5.7591	25.754	41.7369	5.7877	34.5516	21.1115	0.138671056	0.304828858	0.166157802	11.jpg	929.9956	414.0094	0	none	0	0	-	-	-	0.32	0.8	0.32	0.68	0.84	0.92	0.84	0.2	0.28	0.08	0.2	0.28	0.72	0.44	0.64	0.16	0.36	0.8	0.4	0.8	0.36	0.44	0.8	0.64	0.48	0.68	0.72	0.44	0.08	0.64	0.64	0.2	0.04	0.12	0.04	0.52	0.12	41.73028335	34.56021804	21.1175958	5.784728622	4.060016543	7.553849541	49.55828983	-5.759115796	25.75396325	15.10675495	10.2577832	10.36191044	52.62562668	-4.183120073	23.25500664	16.88038663	8.488248905	10.14291206	0.319082244	0.104393603	0.31515266
0	Gen0_Mut0_ID7	534	Killed	2	2	534	534	912	25.1935	1.1133	26.6952	0.2704	49.9346	17.9755	-11.0331	28.9303	75.1281	19.0888	15.0429	34.6467	0.254083359	0.359980855	0.105897496	3.jpg	890.8483	106.2963	0	none	0	0	-	-	-	0.36	0.6	0.76	0.04	0.88	0.8	0.92	0.6	0.12	0.24	0.16	0.96	0.36	0.56	0.76	0.4	0.6	0.72	0.88	0.64	0.68	0.16	0.28	0.8	0.4	0.92	0.48	0.24	0.24	0.84	0.48	0.88	0.88	0.84	0.56	0.6	0.88	75.13153245	15.05474905	34.6530172	19.09085831	16.65805539	11.20521713	49.93466904	-11.0331854	28.9303606	17.97549357	11.04520673	10.22870812	50.84234462	-6.358020893	27.08598945	19.86091524	9.985665244	10.21374717	0.293301467	0.228603989	0.25476135
0	Gen0_Mut0_ID16	512	Killed	3	3	512	512	756	29.1668	10.0025	15.6277	0.146	54.1315	18.8657	-5.6752	27.6187	24.9647	28.8682	-1.7328	12.4965	1.156360781	0.348516114	0.807844668	8.jpg	782.2147	261.8962	0	none	0	0	-	-	-	0.4	0.36	0.04	0.08	0.92	0.68	0.08	0.28	0.32	0.68	0.52	0.56	0.28	0.24	0.24	0.44	0.24	0.08	0.04	0.44	0.16	0.6	0.84	0.28	0.72	0.2	0.88	0.08	0.48	0.44	0.12	0.64	0.96	0.52	0.96	0.76	0.04	24.97230692	-1.745613561	12.52508749	28.86360744	17.56556621	18.41198841	54.13146065	-5.6751868	27.61864047	18.86570519	8.09217602	11.90262422	52.99951817	-4.673328131	27.77864734	19.79334242	8.309060656	10.64093168	0.16615606	0.334754469	0.156080085
0	Gen0_Mut0_ID6	498	Killed	4	4	498	498	911	6.5346	9.7798	33.8333	0.2862	47.9314	18.9257	-0.3534	24.8121	54.466	9.1459	12.2994	56.1904	0.167919436	0.394849723	0.226930287	9.jpg	315.7429	435.0841	0	horizontal	0	0	-	-	-	0.72	0.64	0.88	0.84	0.56	0.88	0.12	0.96	0.76	0.44	0.72	0.68	0.2	0.76	0.48	0.12	0.88	0.64	0.52	0.56	0.92	0.28	0.92	0.32	0.2	0.52	0.6	0.92	0.92	0.48	0.76	0.44	0.28	0.24	0.84	0.48	0.32	54.46500806	12.3177899	56.19224561	9.141436191	10.40146945	10.82186106	47.93136856	-0.353322254	24.81203298	18.92571364	7.23058633	8.822166722	49.71585037	-1.757261129	26.40814213	17.96765767	7.688322611	8.950569477	0.288735495	0.237492621	0.13834417
0	Gen0_Mut0_ID1	1824	Survived	5	5	1824	1209	1824	22.7153	4.4772	20.9006	0.2159	52.4654	18.9087	-3.3581	21.8215	75.1807	23.3859	-19.9023	34.5935	0.311062547	0.360403237	0.049340691	18.jpg	178.8832	774.5469	0	none	0	0	-	-	-	0.2	0.04	0.72	0.28	0.44	0.48	0.36	0.16	0.56	0.96	0.92	0.92	0.64	0.2	0.68	0.48	0.56	0.4	0.92	0.52	0.44	0.08	0.08	0.6	0.88	0.24	0.92	0.52	0.44	0.08	0.8	0.76	0.64	0.4	0.72	0.56	0.24	75.17421168	-19.8942448	34.57690656	23.38486796	18.0615349	19.16010178	52.46539589	-3.358092656	21.82150114	18.90867297	6.348220164	8.84375297	51.09284255	-2.659901242	21.94334301	20.22054056	6.663332178	8.876246597	0.230672184	0.187216019	0.170610466
0	Gen0_Mut0_ID19	534	Killed	6	6	534	534	740	5.8692	5.9186	57.8856	0.2781	44.9708	16.2065	-10.1435	30.6461	50.84	10.2879	47.7231	29.1644	0.202358379	0.36037829	0.158019911	12.jpg	750.607	178.0366	0	none	0	0	-	-	-	0.16	0.24	0.8	0.8	0.72	0.76	0.52	0.88	0.52	0.04	0.32	0.04	0.8	0.48	0.32	0.28	0.68	0.56	0.6	0.96	0.4	0.4	0.72	0.88	0.8	0.88	0.36	0.64	0.8	0.92	0.16	0.48	0.52	0.48	0.36	0.04	0.72	50.84576527	47.71946665	29.15850043	10.28890147	10.36888902	11.9513194	44.97078213	-10.14346581	30.64614149	16.20650652	9.003761476	10.29550664	51.87960099	-9.470468055	29.80699908	17.68679482	8.665412808	11.50252035	0.285740872	0.107020431	0.336810534
0	Gen0_Mut0_ID15	1883	Survived	7	7	1883	640	1883	11.0201	2.9644	30.5759	0.3116	56.6846	20.2348	-6.0996	29.5378	45.6645	23.1992	18.9316	11.9786	0.508035783	0.356971735	0.151064048	7.jpg	220.1748	511.437	0	horizontal	0	0	-	-	-	0.84	0.48	0.44	0.24	0.6	0.56	0.32	0.68	0.84	0.32	0.8	0.12	0.44	0.12	0.4	0.68	0.72	0.16	0.24	0.68	0.2	0.84	0.56	0.44	0.16	0.96	0.04	0.84	0.76	0.04	0.96	0.24	0.6	0.44	0.76	0.72	0.36	45.66972792	18.93906174	11.97442137	23.20231858	3.625812047	6.45208814	56.6845751	-6.099555182	29.53779506	20.23486395	7.868127976	11.7385211	51.23604389	-6.705253778	30.08153328	19.29674209	9.466136792	11.40032505	0.325976345	0.099405245	0.164018014
0	Gen0_Mut0_ID13	1536	Survived	8	8	1536	663	1536	1.9803	7.6331	21.256	0.3332	49.2417	15.1732	-3.614	28.4812	51.222	22.8063	-19.882	14.8002	0.445244231	0.308137209	0.137107022	1.jpg	1169.3219	446.7179	0	horizontal	0	0	-	-	-	0.6	0.32	0.28	0.48	0.16	0.44	0.72	0.48	0.68	0.88	0.24	0.52	0.12	0.36	0.88	0.76	0.04	0.24	0.72	0.2	0.52	0.76	0.12	0.36	0.28	0.48	0.12	0.4	0.32	0.4	0.92	0.4	0.2	0.72	0.44	0.36	0.52	51.21648105	-19.87424866	14.76972341	22.81789592	13.86005535	13.80724241	49.24165533	-3.614061445	28.48124827	15.17326144	8.251495241	9.490242251	50.89358246	-2.403329529	26.44094117	18.03846569	8.792232936	9.958709206	0.339243529	0.285404652	0.221566277
0	Gen0_Mut0_ID18	674	Killed	9	9	674	674	1058	6.4762	1.8579	26.0671	0.2364	46.8501	18.1229	-7.0198	26.6301	40.3739	19.9808	-32.3477	20.4662	0.494893979	0.386827349	0.108066629	23.jpg	47.5245	557.31	0	none	0	0	-	-	-	0.8	0.4	0.16	0.52	0.64	0.16	0.68	0.12	0.08	0.56	0.48	0.72	0.6	0.96	0.52	0.24	0.44	0.36	0.76	0.24	0.32	0.36	0.2	0.4	0.64	0.8	0.68	0.28	0.84	0.96	0.08	0.08	0.76	0.8	0.4	0.88	0.84	40.38087629	-32.35325231	20.4839755	19.9857537	5.23413772	4.571112193	46.85016532	-7.019822565	26.63011228	18.12290423	9.5929137	12.5782496	42.53899288	-7.323013202	28.40378295	16.81256062	8.734508438	10.30586111	0.260131927	0.110257849	0.263071379
0	Gen0_Mut0_ID11	1611	Survived	10	10	1611	1611	1919	15.2628	2.1727	28.7822	0.2952	54.6923	21.8329	-2.024	25.0477	69.9551	19.6602	-30.5651	21.3303	0.281040267	0.399195134	0.118154866	4.jpg	694.4437	750.8816	0	none	0	0	-	-	-	0.56	0.68	0.24	0.44	0.08	0.64	0.4	0.52	0.88	0.28	0.36	0.44	0.08	0.92	0.72	0.6	0.84	0.68	0.8	0.04	0.48	0.72	0.4	0.2	0.04	0.76	0.56	0.48	0.56	0.6	0.32	0.6	0.92	0.92	0.88	0.24	0.08	69.95370158	-30.57044301	21.32352676	19.65192366	27.07901626	8.466640715	54.6923167	-2.024072575	25.04771944	21.83285485	7.067313273	10.00913801	51.82881904	-4.662497261	27.19771425	19.56056345	8.915648737	10.31124057	0.293096642	0.193695238	0.335999234
