Generation	ID	Fitness	Status	Order	Int_Order	Survival_Time	Response_Time	Capture_Time	Luminance_Difference	Contrast_Difference	Colour_Difference	GabRat_Edge_Disruption	BgLocal_Luminance	BgLocal_Contrast	BgLocal_A	BgLocal_B	Target_Luminance	Target_Contrast	Target_A	Target_B	Target_Contrast2	BgLocal_Contrast2	Contrast2_Difference	Image_ID	X_Coordinate	Y_Coordinate	Rotation	Flip	Crop_X	Crop_Y	Parent1	Parent2	Sex	ptn_dim_xcp	ptn_dim_ycp	ptn_dim_wdt	ptn_dim_asr	ptn_dim_agl	ptn_grd_cvr	ptn_grd_sig	ptn_grd_hgt	ptn_grd_agl	eem_int_lvl	eem_int_rto	eem_sig_lvl	eem_sig_rto	eem_exp_lvl	eem_exp_rto	ptn_bil_ctr	ptn_bil_sft	ptn_bil_frq	col_mac_lmv	col_mac_rgv	col_mac_byv	col_top_lmv	col_top_rgv	col_top_byv	col_bot_lmv	col_bot_rgv	col_bot_byv	col_grd_sig	col_grd_hgt	spk_one_lvl	spk_one_rto	spk_one_sig	spk_one_ycp	spk_two_lvl	spk_two_rto	spk_two_sig	spk_two_ycp	TmeanL	TmeanA	TmeanB	TcontrastL	TcontrastA	TcontrastB	LmeanL	LmeanA	LmeanB	LcontrastL	LcontrastA	LcontrastB	BmeanL	BmeanA	BmeanB	BcontrastL	BcontrastA	BcontrastB	gabRatL	gabRatA	gabRatB
0	Gen0_Mut0_ID22	1151	Survived	1	1	1151	1151	1595	28.5018	3.0032	21.637	0.1553	46.8647	14.2312	4.6223	20.6519	75.3665	17.2344	23.1289	9.4418	0.228674544	0.303665659	0.074991115	5.jpg	1194.4107	127.3273	0	none	0	0	-	-	-	0.12	0.44	0.16	0.8	0.24	0.88	0.72	0.72	0.4	0.36	0.88	0.48	0.6	0.76	0.04	0.32	0.36	0.6	0.92	0.84	0.28	0.84	0.36	0.76	0.16	0.76	0.4	0.32	0.36	0.04	0.28	0.84	0.48	0.96	0.08	0.4	0.36	75.35520106	23.1335729	9.447010355	17.25388693	12.25081875	11.21051558	46.86510334	4.622290475	20.65217102	14.23062211	3.965223993	7.443648774	44.93585387	-0.146976037	20.86527089	16.93119937	11.38002423	7.381613459	0.182994921	0.17422059	0.175199935
0	Gen0_Mut0_ID3	5724	Survived	2	2	5724	5724	6207	23.3292	7.7804	5.6428	0.1904	38.1987	14.2626	-4.6401	22.1931	14.8695	6.4822	-4.3025	16.5604	0.435939339	0.373379199	0.06256014	0.jpg	748.8384	100.2139	0	horizontal	0	0	-	-	-	0.56	0.8	0.88	0.08	0.6	0.08	0.52	0.52	0.52	0.16	0.2	0.76	0.16	0.04	0.08	0.64	0.64	0.8	0.36	0.2	0.08	0.12	0.48	0.4	0.2	0.88	0.52	0.28	0.76	0.76	0.84	0.88	0.72	0.64	0.24	0.8	0.84	14.86734721	-4.300601621	16.55307122	6.478531049	6.906712945	5.214112717	38.19866966	-4.640024527	22.1930505	14.26258681	11.18439443	7.824921991	43.35913418	-4.642883306	22.8693683	16.88563019	13.35691174	7.463392005	0.213281697	0.233829722	0.273009145
0	Gen0_Mut0_ID5	2405	Survived	3	3	2405	2405	2953	5.2752	13.7461	14.5738	0.1954	52.9648	18.3875	6.2765	18.1922	58.24	4.6414	0.0492	31.3686	0.079694368	0.347164532	0.267470164	22.jpg	1202.0759	565.3012	0	horizontal	0	0	-	-	-	0.88	0.84	0.56	0.52	0.2	0.56	0.6	0.08	0.84	0.2	0.56	0.16	0.12	0.96	0.48	0.16	0.08	0.92	0.56	0.36	0.2	0.72	0.96	0.6	0.6	0.68	0.92	0.56	0.04	0.2	0.96	0.92	0.24	0.36	0.4	0.16	0.92	58.24020115	0.051983518	31.36550356	4.641236236	17.43365449	26.09460933	52.96486582	6.276525116	18.19222529	18.38746522	4.380688892	4.855050929	49.92248409	4.035812037	20.91601961	16.07082217	6.011032233	5.982436726	0.207084584	0.328443944	0.322268668
0	Gen0_Mut0_ID6	603	Killed	4	4	603	603	1066	20.0113	2.2211	22.5426	0.1942	41.6224	14.4997	-9.9823	24.6644	21.6111	12.2786	-12.1222	2.2236	0.568161732	0.348362901	0.219798831	7.jpg	26.8517	408.9016	0	none	0	0	-	-	-	0.76	0.36	0.28	0.2	0.12	0.44	0.16	0.92	0.48	0.32	0.92	0.96	0.72	0.4	0.32	0.72	0.28	0.16	0.08	0.32	0.4	0.28	0.44	0.04	0.52	0.12	0.12	0.48	0.84	0.8	0.64	0.68	0.68	0.88	0.56	0.48	0.24	21.60442877	-12.11612863	2.204417346	12.29277405	5.1540615	9.578260692	41.62246584	-9.98234174	24.66446447	14.49967229	12.73194295	8.37610449	45.1564871	-2.352333536	21.4846998	17.34590724	10.44475059	7.51480624	0.2012249	0.175982497	0.150385797
0	Gen0_Mut0_ID0	1552	Survived	5	5	1552	906	1552	26.2162	0.5867	26.2619	0.2367	54.0897	15.1997	7.0238	23.7261	27.8735	15.7864	-18.8908	19.4692	0.566358728	0.281009139	0.285349589	18.jpg	20.1446	681.729	0	horizontal	0	0	-	-	-	0.72	0.48	0.68	0.48	0.76	0.68	0.48	0.28	0.16	0.4	0.24	0.12	0.44	0.56	0.8	0.76	0.56	0.56	0.16	0.44	0.8	0.52	0.04	0.2	0.4	0.04	0.96	0.36	0.96	0.52	0.08	0.4	0.4	0.04	0.76	0.84	0.16	27.87435463	-18.89957313	19.46709062	15.79057094	15.61507358	6.035349434	54.0897561	7.023660798	23.72617983	15.1997113	5.927459519	6.251506591	53.93543602	7.16343611	22.41109399	16.26797411	8.277234046	6.932589489	0.256231811	0.219798606	0.469363536
0	Gen0_Mut0_ID19	1387	Survived	6	6	1387	786	1387	21.4331	12.8833	35.2157	0.1146	45.55	20.1196	3.3088	19.3028	66.9831	7.2363	-31.9061	19.5375	0.108031727	0.441703622	0.333671895	17.jpg	1140.8386	137.5467	0	none	0	0	-	-	-	0.44	0.88	0.24	0.24	0.8	0.24	0.2	0.24	0.24	0.68	0.48	0.68	0.68	0.88	0.76	0.12	0.96	0.08	0.68	0.48	0.52	0.68	0.12	0.24	0.68	0.32	0.72	0.96	0.8	0.32	0.24	0.28	0.12	0.16	0.12	0.44	0.08	66.98028634	-31.90519112	19.52506027	7.234617883	16.23938918	7.002020814	45.5500666	3.30869615	19.30285266	20.11956739	3.948046301	4.288660349	49.35919206	6.401077302	20.93439665	17.6497634	6.350643668	5.55572068	0.136907649	0.109224837	0.186623906
0	Gen0_Mut0_ID4	813	Killed	7	7	813	813	1248	38.6976	3.5492	26.5245	0.1296	48.7336	15.4935	5.326	19.9213	87.4312	11.9443	-10.4662	41.2322	0.136613703	0.317922337	0.181308634	16.jpg	1003.3179	722.7903	0	none	0	0	-	-	-	0.28	0.76	0.12	0.04	0.88	0.76	0.76	0.44	0.32	0.44	0.6	0.44	0.56	0.52	0.88	0.6	0.4	0.84	0.96	0.6	0.96	0.76	0.88	0.08	0.64	0.28	0.04	0.04	0.4	0.4	0.72	0.2	0.52	0.4	0.92	0.64	0.76	87.42613458	-10.43745999	41.22128654	11.93733233	11.68623695	27.24221551	48.73362624	5.326006099	19.92122061	15.4934718	3.336711784	4.424273642	49.301906	5.249908664	20.88544889	16.99432783	7.303566318	5.953173147	0.153398075	0.156910356	0.148061899
0	Gen0_Mut0_ID8	718	Killed	8	8	718	718	1181	18.4959	8.2027	24.6847	0.3888	52.25	15.9571	4.789	17.8673	33.7541	24.1598	-18.8344	25.0275	0.715758974	0.305399043	0.410359931	19.jpg	870.1399	508.8471	0	horizontal	0	0	-	-	-	0.52	0.52	0.72	0.72	0.52	0.72	0.92	0.12	0.92	0.6	0.64	0.36	0.8	0.92	0.56	0.92	0.88	0.76	0.2	0.28	0.6	0.32	0.52	0.52	0.84	0.4	0.36	0.72	0.56	0.16	0.92	0.04	0.76	0.68	0.36	0.36	0.52	33.74460476	-18.81933891	25.01717554	24.164762	7.996960465	4.306671356	52.24997216	4.789062021	17.86735668	15.9570851	2.944268319	3.648584627	50.01096639	4.146496225	20.39025919	18.55738712	9.214719073	6.73033724	0.390743351	0.169971455	0.170070552
0	Gen0_Mut0_ID21	679	Killed	9	9	679	679	963	0.4434	2.4775	29.9565	0.2319	46.3689	17.2541	-1.4366	18.722	46.8123	19.7316	27.9101	24.7358	0.421504605	0.37210501	0.049399595	2.jpg	880.0937	349.0593	0	horizontal	0	0	-	-	-	0.08	0.24	0.32	0.16	0.92	0.6	0.88	0.32	0.56	0.24	0.8	0.08	0.92	0.2	0.24	0.88	0.68	0.2	0.6	0.68	0.36	0.2	0.8	0.8	0.48	0.92	0.24	0.6	0.6	0.92	0.6	0.72	0.92	0.8	0.64	0.28	0.44	46.81069766	27.90572041	24.73371548	19.72436784	9.478190511	8.355882277	46.36888129	-1.436637702	18.72201032	17.25414289	12.32647783	5.614301498	45.85661741	1.665867793	19.28595173	17.47157026	10.39667076	5.805512692	0.24014362	0.139486806	0.229289513
0	Gen0_Mut0_ID20	1394	Survived	10	10	1394	1394	1853	25.4383	4.7908	33.3404	0.2327	48.9101	16.1593	8.9448	19.3927	23.4718	20.9501	-20.9471	4.626	0.892564695	0.330387793	0.562176902	3.jpg	48.3725	631.8911	0	none	0	0	-	-	-	0.68	0.96	0.44	0.4	0.72	0.4	0.4	0.4	0.28	0.48	0.36	0.52	0.88	0.36	0.36	0.36	0.2	0.32	0.44	0.04	0.16	0.04	0.28	0.16	0.32	0.48	0.16	0.44	0.72	0.96	0.32	0.8	0.28	0.76	0.48	0.72	0.2	23.48536524	-20.98037734	4.655576581	20.94265373	13.57324984	1.501050898	48.91011838	8.944777135	19.39277829	16.15925968	4.373856606	6.153304591	44.50018117	0.406387289	20.39408818	17.13913691	11.62549958	6.285360426	0.253070281	0.089341574	0.099414098
