Generation	ID	Fitness	Status	Order	Int_Order	Survival_Time	Response_Time	Capture_Time	Luminance_Difference	Contrast_Difference	Colour_Difference	GabRat_Edge_Disruption	BgLocal_Luminance	BgLocal_Contrast	BgLocal_A	BgLocal_B	Target_Luminance	Target_Contrast	Target_A	Target_B	Target_Contrast2	BgLocal_Contrast2	Contrast2_Difference	Image_ID	X_Coordinate	Y_Coordinate	Rotation	Flip	Crop_X	Crop_Y	Parent1	Parent2	Sex	ptn_dim_xcp	ptn_dim_ycp	ptn_dim_wdt	ptn_dim_asr	ptn_dim_agl	ptn_grd_cvr	ptn_grd_sig	ptn_grd_hgt	ptn_grd_agl	eem_int_lvl	eem_int_rto	eem_sig_lvl	eem_sig_rto	eem_exp_lvl	eem_exp_rto	ptn_bil_ctr	ptn_bil_sft	ptn_bil_frq	col_mac_lmv	col_mac_rgv	col_mac_byv	col_top_lmv	col_top_rgv	col_top_byv	col_bot_lmv	col_bot_rgv	col_bot_byv	col_grd_sig	col_grd_hgt	spk_one_lvl	spk_one_rto	spk_one_sig	spk_one_ycp	spk_two_lvl	spk_two_rto	spk_two_sig	spk_two_ycp	TmeanL	TmeanA	TmeanB	TcontrastL	TcontrastA	TcontrastB	LmeanL	LmeanA	LmeanB	LcontrastL	LcontrastA	LcontrastB	BmeanL	BmeanA	BmeanB	BcontrastL	BcontrastA	BcontrastB	gabRatL	gabRatA	gabRatB
0	Gen0_Mut0_ID18	807	Survived	1	1	807	807	1385	39.9969	7.9187	35.334	0.1061	41.3978	15.6504	-20.31	37.8469	81.3947	7.7317	11.1389	53.9546	0.094990214	0.378049075	0.283058861	12.jpg	1023.1326	277.147	0	horizontal	0	0	-	-	-	0.6	0.6	0.48	0.28	0.4	0.96	0.96	0.16	0.64	0.8	0.44	0.04	0.32	0.48	0.16	0.48	0.04	0.88	0.84	0.72	0.88	0.8	0.6	0.56	0.76	0.24	0.76	0.68	0.68	0.12	0.88	0.24	0.16	0.6	0.68	0.24	0.04	81.39188841	11.14158478	53.95207105	7.726612474	10.68832813	5.700699335	41.39783579	-20.3099935	37.84695292	15.65039985	11.6319739	12.19279271	43.6491945	-14.47557126	36.04200145	16.47555783	13.52808041	12.25404571	0.131193474	0.191521939	0.248035623
0	Gen0_Mut0_ID2	657	Killed	2	2	657	657	1113	1.9928	0.0105	54.8841	0.2356	37.0325	14.1266	-20.8135	35.2538	35.0397	14.1161	33.4704	43.3481	0.402860184	0.381464929	0.021395255	15.jpg	199.7633	630.9782	0	none	0	0	-	-	-	0.36	0.16	0.84	0.32	0.04	0.2	0.68	0.2	0.08	0.64	0.76	0.6	0.52	0.16	0.28	0.2	0.6	0.44	0.04	0.76	0.24	0.92	0.76	0.36	0.44	0.8	0.88	0.16	0.12	0.36	0.52	0.76	0.6	0.44	0.32	0.88	0.48	35.03905922	33.49163092	43.35621915	14.1166706	5.279163631	17.26458162	37.03248205	-20.81359505	35.25384755	14.12662313	10.95402503	11.50525396	36.2486586	-15.94424944	33.05662349	15.46656566	12.62409398	11.9270103	0.268269181	0.087040189	0.191932439
0	Gen0_Mut0_ID12	2668	Survived	3	3	2668	2668	3165	24.5073	3.989	16.5958	0.1538	42.9543	18.7064	-12.8558	31.7301	67.4616	14.7174	-3.2109	45.2355	0.218159664	0.435495399	0.217335734	14.jpg	784.5746	707.2498	0	none	0	0	-	-	-	0.32	0.56	0.64	0.96	0.36	0.16	0.84	0.76	0.44	0.08	0.04	0.92	0.24	0.08	0.52	0.8	0.32	0.04	0.48	0.4	0.72	0.48	0.32	0.92	0.88	0.56	0.6	0.2	0.44	0.44	0.2	0.48	0.88	0.48	0.04	0.52	0.72	67.45705721	-3.232348204	45.21948618	14.71749862	9.094307424	6.333906267	42.95435283	-12.85589717	31.73006208	18.70640437	11.05801406	11.24219572	40.37542327	-16.56103135	35.04445336	16.44171686	12.40296391	12.45020346	0.170273489	0.140538147	0.211579491
0	Gen0_Mut0_ID1	3358	Survived	4	4	3358	2646	3358	24.7144	7.7455	24.8547	0.1655	36.2148	16.8405	-18.8258	33.1015	11.5004	9.095	-4.0942	13.0831	0.790842058	0.465017065	0.325824993	20.jpg	1132.388	168.1708	0	horizontal	0	0	-	-	-	0.04	0.2	0.8	0.68	0.56	0.28	0.32	0.64	0.88	0.28	0.32	0.64	0.2	0.8	0.12	0.28	0.16	0.48	0.28	0.64	0.44	0.36	0.92	0.68	0.04	0.2	0.84	0.12	0.08	0.88	0.12	0.44	0.2	0.08	0.96	0.56	0.12	11.49885353	-4.079077013	13.07298161	9.090405085	11.55490509	7.783441548	36.21489178	-18.82588843	33.10155155	16.84046744	9.611187946	12.22340123	39.67551922	-15.3691665	33.98510981	16.69117553	13.86851514	12.54403483	0.184585237	0.180615459	0.18718222
0	Gen0_Mut0_ID19	657	Killed	5	5	657	657	1161	25.6353	11.7299	20.9664	0.1761	41.3789	18.9529	-15.9637	33.0944	67.0142	7.223	-32.0442	19.6405	0.107783127	0.458032959	0.350249832	23.jpg	421.0933	157.8408	0	none	0	0	-	-	-	0.44	0.88	0.24	0.24	0.8	0.24	0.2	0.24	0.24	0.68	0.48	0.68	0.68	0.88	0.76	0.12	0.96	0.08	0.68	0.48	0.52	0.68	0.12	0.24	0.68	0.32	0.72	0.96	0.8	0.32	0.24	0.28	0.12	0.16	0.12	0.44	0.08	67.01099802	-32.02780538	19.63562697	7.224842246	16.23815633	7.018037118	41.3788903	-15.96367889	33.09441037	18.95289245	11.2973197	12.71945185	44.29316991	-15.97714567	33.16639232	17.89148355	13.3150073	11.70285479	0.190203353	0.151798747	0.245939908
0	Gen0_Mut0_ID16	1215	Survived	6	6	1215	536	1215	35.6817	0.3991	46.5469	0.2004	43.3103	15.7263	-12.979	36.8757	78.992	16.1254	23.1688	7.5508	0.20413966	0.363107621	0.158967961	7.jpg	884.8863	736.5752	0	none	0	0	-	-	-	0.84	0.64	0.04	0.64	0.64	0.92	0.64	0.8	0.6	0.92	0.72	0.32	0.96	0.72	0.44	0.96	0.92	0.64	0.88	0.88	0.32	0.96	0.4	0.44	0.56	0.6	0.28	0.84	0.88	0.56	0.8	0.64	0.84	0.92	0.44	0.12	0.6	79.00367906	23.1530013	7.566340598	16.12663589	16.57046292	6.242497168	43.31025575	-12.97904668	36.87568438	15.72628402	15.09454516	13.91990536	44.31209432	-13.62352438	35.76605632	17.0341322	15.71479927	13.09494126	0.212664397	0.208183992	0.1490119
0	Gen0_Mut0_ID8	570	Killed	7	7	570	570	1092	2.1366	7.8861	13.1287	0.4522	35.7862	16.2878	-5.7699	24.4879	33.6496	24.1739	-18.8866	25.0482	0.718400813	0.455141926	0.263258887	22.jpg	523.9347	182.5064	0	none	0	0	-	-	-	0.52	0.52	0.72	0.72	0.52	0.72	0.92	0.12	0.92	0.6	0.64	0.36	0.8	0.92	0.56	0.92	0.88	0.76	0.2	0.28	0.6	0.32	0.52	0.52	0.84	0.4	0.36	0.72	0.56	0.16	0.92	0.04	0.76	0.68	0.36	0.36	0.52	33.64418099	-18.87103543	25.04057471	24.17067265	7.981844878	4.344719486	35.78624302	-5.769875541	24.48785164	16.28777814	12.81709062	11.02174301	45.22214022	-7.729348119	27.81001976	19.50506413	14.06237228	10.9297726	0.453620349	0.202690407	0.234411008
0	Gen0_Mut0_ID15	951	Survived	8	8	951	951	1304	26.8377	6.2691	22.7248	0.1567	41.1013	15.8662	-8.1515	30.6598	67.939	9.5971	-18.6276	50.8258	0.141260543	0.386026719	0.244766177	17.jpg	921.0404	407.2731	0	horizontal	0	0	-	-	-	0.96	0.92	0.96	0.36	0.68	0.04	0.24	0.36	0.8	0.72	0.4	0.2	0.48	0.6	0.84	0.52	0.52	0.72	0.72	0.08	0.68	0.08	0.16	0.32	0.72	0.36	0.8	0.92	0.16	0.68	0.4	0.56	0.96	0.32	0.28	0.6	0.88	67.94301376	-18.63351902	50.84552729	9.597821038	4.247146688	4.991802847	41.10131023	-8.151525912	30.6597984	15.86625893	15.57185383	12.84594111	37.98681931	-14.39841164	30.85748067	16.27899913	13.92722939	11.4886712	0.18663729	0.256154424	0.184813177
0	Gen0_Mut0_ID9	610	Killed	9	9	610	610	1108	20.2293	11.6397	44.2178	0.2368	38.9781	19.9704	-5.8877	26.3928	18.7488	8.3307	37.9174	20.3658	0.444332437	0.512349242	0.068016805	5.jpg	990.3394	401.9129	0	horizontal	0	0	-	-	-	0.8	0.04	0.76	0.88	0.16	0.48	0.44	0.56	0.12	0.96	0.16	0.56	0.4	0.64	0.92	0.44	0.48	0.68	0.12	0.8	0.64	0.88	0.64	0.88	0.12	0.96	0.32	0.4	0.24	0.84	0.68	0.96	0.04	0.12	0.16	0.76	0.28	18.74586266	37.91021012	20.36642928	8.32876882	7.097501343	3.784951796	38.97811199	-5.887653203	26.39278362	19.97043324	13.97987834	11.5180094	36.27536399	-13.61428235	29.78204163	16.06549628	14.9076591	11.57899532	0.247569219	0.107555969	0.237747133
0	Gen0_Mut0_ID20	770	Killed	10	10	770	770	1290	9.0739	7.8708	27.5715	0.1664	32.3791	13.0678	-11.8196	30.6557	23.3052	20.9386	-21.0485	4.6747	0.898451848	0.403587499	0.494864348	19.jpg	191.8062	711.0079	0	none	0	0	-	-	-	0.68	0.96	0.44	0.4	0.72	0.4	0.4	0.4	0.28	0.48	0.36	0.52	0.88	0.36	0.36	0.36	0.2	0.32	0.44	0.04	0.16	0.04	0.28	0.16	0.32	0.48	0.16	0.44	0.72	0.96	0.32	0.8	0.28	0.76	0.48	0.72	0.2	23.31711675	-21.0723657	4.700069033	20.93860891	13.57161967	1.666098298	32.37905565	-11.81962966	30.65572524	13.06783266	14.786462	10.91895217	38.18633625	-13.20671128	31.71860919	17.73657609	14.33184052	12.84254487	0.176273474	0.169953481	0.155136592
